state,precipitation,year,id_state
AGUASCALIENTES,417.6844444444445,2000,1
BAJA CALIFORNIA,95.78388808192946,2000,2
BAJA CALIFORNIA SUR,105.2725264070304,2000,3
CAMPECHE,1406.3747500164616,2000,4
CHIAPAS,2170.1518464249616,2000,5
CHIHUAHUA,306.5819397797381,2000,6
CIUDAD DE MÉXICO,762.89371034451,2000,7
COAHUILA,388.0129357085603,2000,8
COLIMA,759.6854410589411,2000,9
DURANGO,319.1,2000,10
ESTADO DE MÉXICO,667.7993084556877,2000,11
GUANAJUATO,1080.5213761199461,2000,12
GUERRERO,816.9499045044798,2000,13
HIDALGO,591.1142909311343,2000,14
JALISCO,632.273078171125,2000,15
MICHOACÁN,797.3772433555245,2000,16
MORELOS,941.1311782674792,2000,17
NAYARIT,1149.4130681818183,2000,18
NUEVO LEÓN,453.06076264097806,2000,19
OAXACA,1677.1210814800122,2000,20
PUEBLA,1983.1741035990854,2000,21
QUERÉTARO,372.66237708873143,2000,22
QUINTANA ROO,1446.430195311195,2000,23
SAN LUIS POTOSÍ,645.6958071029525,2000,24
SINALOA,691.9000000000001,2000,25
SONORA,352.32619464658904,2000,26
TABASCO,2511.2247691990333,2000,27
TAMAULIPAS,837.3732431047205,2000,28
TLAXCALA,627.4017630982801,2000,29
VERACRUZ,1948.2190274132652,2000,30
YUCATÁN,843.5207412548277,2000,31
ZACATECAS,492.7474608518946,2000,32
AGUASCALIENTES,399.2,2001,1
BAJA CALIFORNIA,229.00000000000003,2001,2
BAJA CALIFORNIA SUR,158.79999999999998,2001,3
CAMPECHE,1488.0,2001,4
CHIAPAS,2269.8999999999996,2001,5
CHIHUAHUA,322.9,2001,6
CIUDAD DE MÉXICO,823.6,2001,7
COAHUILA,305.1,2001,8
COLIMA,715.3,2001,9
DURANGO,251.0,2001,10
ESTADO DE MÉXICO,742.9,2001,11
GUANAJUATO,717.1999999999999,2001,12
GUERRERO,1028.4,2001,13
HIDALGO,651.2,2001,14
JALISCO,670.6999999999999,2001,15
MICHOACÁN,893.4000000000001,2001,16
MORELOS,1111.6,2001,17
NAYARIT,1025.4,2001,18
NUEVO LEÓN,590.1,2001,19
OAXACA,1737.6,2001,20
PUEBLA,1439.9999999999998,2001,21
QUERÉTARO,595.0,2001,22
QUINTANA ROO,1550.2,2001,23
SAN LUIS POTOSÍ,704.7,2001,24
SINALOA,528.6,2001,25
SONORA,343.0,2001,26
TABASCO,2451.4000000000005,2001,27
TAMAULIPAS,756.1,2001,28
TLAXCALA,679.3000000000001,2001,29
VERACRUZ,1980.7000000000003,2001,30
YUCATÁN,877.7,2001,31
ZACATECAS,490.79999999999995,2001,32
AGUASCALIENTES,613.4,2002,1
BAJA CALIFORNIA,85.3,2002,2
BAJA CALIFORNIA SUR,92.5,2002,3
CAMPECHE,1635.3999999999999,2002,4
CHIAPAS,2088.0,2002,5
CHIHUAHUA,353.6,2002,6
CIUDAD DE MÉXICO,768.2,2002,7
COAHUILA,425.30000000000007,2002,8
COLIMA,956.5999999999999,2002,9
DURANGO,379.3,2002,10
ESTADO DE MÉXICO,703.5,2002,11
GUANAJUATO,810.5,2002,12
GUERRERO,1001.6000000000001,2002,13
HIDALGO,615.9000000000001,2002,14
JALISCO,792.2,2002,15
MICHOACÁN,941.1999999999999,2002,16
MORELOS,785.2,2002,17
NAYARIT,1044.0,2002,18
NUEVO LEÓN,703.9,2002,19
OAXACA,1496.3999999999999,2002,20
PUEBLA,1280.7,2002,21
QUERÉTARO,541.1000000000001,2002,22
QUINTANA ROO,1537.6999999999998,2002,23
SAN LUIS POTOSÍ,793.2,2002,24
SINALOA,489.3,2002,25
SONORA,228.3,2002,26
TABASCO,2297.2,2002,27
TAMAULIPAS,799.7,2002,28
TLAXCALA,624.8000000000001,2002,29
VERACRUZ,1495.6,2002,30
YUCATÁN,977.2000000000002,2002,31
ZACATECAS,581.6,2002,32
AGUASCALIENTES,567.1999999999999,2003,1
BAJA CALIFORNIA,331.8,2003,2
BAJA CALIFORNIA SUR,331.8,2003,3
CAMPECHE,491.7,2003,4
CHIAPAS,1935.6000000000001,2003,5
CHIHUAHUA,374.79999999999995,2003,6
CIUDAD DE MÉXICO,768.0,2003,7
COAHUILA,491.7,2003,8
COLIMA,877.1,2003,9
DURANGO,436.49999999999994,2003,10
ESTADO DE MÉXICO,707.9999999999999,2003,11
GUANAJUATO,921.4,2003,12
GUERRERO,1040.5,2003,13
HIDALGO,623.9999999999999,2003,14
JALISCO,735.9,2003,15
MICHOACÁN,872.3,2003,16
MORELOS,1099.6,2003,17
NAYARIT,1018.9,2003,18
NUEVO LEÓN,764.3000000000001,2003,19
OAXACA,1466.6,2003,20
PUEBLA,1595.9999999999998,2003,21
QUERÉTARO,803.3,2003,22
QUINTANA ROO,1552.6000000000001,2003,23
SAN LUIS POTOSÍ,875.9,2003,24
SINALOA,530.9,2003,25
SONORA,309.90000000000003,2003,26
TABASCO,2076.1,2003,27
TAMAULIPAS,873.8000000000001,2003,28
TLAXCALA,617.0,2003,29
VERACRUZ,1674.6000000000001,2003,30
YUCATÁN,851.5,2003,31
ZACATECAS,546.1999999999999,2003,32
AGUASCALIENTES,711.310202896307,2004,1
BAJA CALIFORNIA,357.5205228779203,2004,2
BAJA CALIFORNIA SUR,203.3649959151244,2004,3
CAMPECHE,1225.2381593190203,2004,4
CHIAPAS,1713.8349922991665,2004,5
CHIHUAHUA,745.3648397352091,2004,6
CIUDAD DE MÉXICO,728.621148405391,2004,7
COAHUILA,594.1652412824127,2004,8
COLIMA,978.007812830957,2004,9
DURANGO,644.703749889511,2004,10
ESTADO DE MÉXICO,751.1118908047184,2004,11
GUANAJUATO,877.8875000999777,2004,12
GUERRERO,1144.2051445702486,2004,13
HIDALGO,629.4400407022182,2004,14
JALISCO,1049.531308354224,2004,15
MICHOACÁN,916.7232845948265,2004,16
MORELOS,1207.5674735266732,2004,17
NAYARIT,1435.106952205664,2004,18
NUEVO LEÓN,830.2132872629396,2004,19
OAXACA,1340.6835880632227,2004,20
PUEBLA,1302.3264329224507,2004,21
QUERÉTARO,698.5402778518713,2004,22
QUINTANA ROO,1087.2168474838834,2004,23
SAN LUIS POTOSÍ,810.740524103243,2004,24
SINALOA,872.1382978249745,2004,25
SONORA,573.7260263690678,2004,26
TABASCO,1964.074717756954,2004,27
TAMAULIPAS,772.8787318880858,2004,28
TLAXCALA,706.413605904531,2004,29
VERACRUZ,1483.0073861813503,2004,30
YUCATÁN,1038.8594407662526,2004,31
ZACATECAS,688.82919441109,2004,32
AGUASCALIENTES,509.3,2005,1
BAJA CALIFORNIA,184.6,2005,2
BAJA CALIFORNIA SUR,189.9,2005,3
CAMPECHE,1790.4,2005,4
CHIAPAS,2190.7000000000007,2005,5
CHIHUAHUA,462.5,2005,6
CIUDAD DE MÉXICO,645.3000000000001,2005,7
COAHUILA,471.0999999999999,2005,8
COLIMA,726.1000000000001,2005,9
DURANGO,373.8,2005,10
ESTADO DE MÉXICO,549.1,2005,11
GUANAJUATO,510.0,2005,12
GUERRERO,1108.1,2005,13
HIDALGO,694.9,2005,14
JALISCO,664.0,2005,15
MICHOACÁN,689.2,2005,16
MORELOS,714.1999999999999,2005,17
NAYARIT,1215.5,2005,18
NUEVO LEÓN,919.2,2005,19
OAXACA,1618.3,2005,20
PUEBLA,1253.9,2005,21
QUERÉTARO,435.0,2005,22
QUINTANA ROO,1456.5000000000002,2005,23
SAN LUIS POTOSÍ,808.4000000000001,2005,24
SINALOA,535.6,2005,25
SONORA,298.7,2005,26
TABASCO,2035.9999999999998,2005,27
TAMAULIPAS,738.8,2005,28
TLAXCALA,677.4,2005,29
VERACRUZ,1830.1000000000001,2005,30
YUCATÁN,1107.5,2005,31
ZACATECAS,414.50000000000006,2005,32
AGUASCALIENTES,655.0999999999999,2006,1
BAJA CALIFORNIA,110.50000000000001,2006,2
BAJA CALIFORNIA SUR,130.9,2006,3
CAMPECHE,1533.5,2006,4
CHIAPAS,2354.2000000000003,2006,5
CHIHUAHUA,607.0,2006,6
CIUDAD DE MÉXICO,882.4,2006,7
COAHUILA,320.7,2006,8
COLIMA,1102.8,2006,9
DURANGO,581.9000000000001,2006,10
ESTADO DE MÉXICO,719.1,2006,11
GUANAJUATO,779.9000000000001,2006,12
GUERRERO,1294.6999999999998,2006,13
HIDALGO,695.1,2006,14
JALISCO,891.4999999999999,2006,15
MICHOACÁN,890.0,2006,16
MORELOS,887.2,2006,17
NAYARIT,1002.0,2006,18
NUEVO LEÓN,614.3,2006,19
OAXACA,1270.2,2006,20
PUEBLA,1221.7999999999997,2006,21
QUERÉTARO,590.2,2006,22
QUINTANA ROO,1131.9,2006,23
SAN LUIS POTOSÍ,720.0,2006,24
SINALOA,731.8,2006,25
SONORA,358.90000000000003,2006,26
TABASCO,2676.2,2006,27
TAMAULIPAS,670.1999999999999,2006,28
TLAXCALA,876.0000000000001,2006,29
VERACRUZ,1654.1999999999998,2006,30
YUCATÁN,891.2,2006,31
ZACATECAS,455.4,2006,32
AGUASCALIENTES,582.2219570378401,2007,1
BAJA CALIFORNIA,105.4756358007779,2007,2
BAJA CALIFORNIA SUR,310.0,2007,3
CAMPECHE,1307.0893793396062,2007,4
CHIAPAS,2302.6365281133885,2007,5
CHIHUAHUA,496.5139142785567,2007,6
CIUDAD DE MÉXICO,866.521787333734,2007,7
COAHUILA,522.3,2007,8
COLIMA,1029.0709685305549,2007,9
DURANGO,429.59271174675126,2007,10
ESTADO DE MÉXICO,876.3049337693315,2007,11
GUANAJUATO,798.7012511328043,2007,12
GUERRERO,1193.2262139754553,2007,13
HIDALGO,891.1789933979688,2007,14
JALISCO,836.4824935583605,2007,15
MICHOACÁN,823.9922800652827,2007,16
MORELOS,773.5823608768745,2007,17
NAYARIT,1054.972526590305,2007,18
NUEVO LEÓN,698.5497669230716,2007,19
OAXACA,1155.2271170477168,2007,20
PUEBLA,1410.1207062914964,2007,21
QUERÉTARO,639.2147418125045,2007,22
QUINTANA ROO,1093.269915482432,2007,23
SAN LUIS POTOSÍ,1222.6546069779658,2007,24
SINALOA,638.6417569863622,2007,25
SONORA,444.5137807513968,2007,26
TABASCO,2554.0908090400044,2007,27
TAMAULIPAS,1002.3778155136408,2007,28
TLAXCALA,677.2431944841255,2007,29
VERACRUZ,1502.5581236930818,2007,30
YUCATÁN,991.3559281130629,2007,31
ZACATECAS,440.1,2007,32
AGUASCALIENTES,656.9,2008,1
BAJA CALIFORNIA,261.2,2008,2
BAJA CALIFORNIA SUR,166.79458145738295,2008,3
CAMPECHE,1560.0000000000002,2008,4
CHIAPAS,2354.8999999999996,2008,5
CHIHUAHUA,550.1,2008,6
CIUDAD DE MÉXICO,740.9,2008,7
COAHUILA,459.0,2008,8
COLIMA,933.1,2008,9
DURANGO,642.6,2008,10
ESTADO DE MÉXICO,679.5999999999999,2008,11
GUANAJUATO,732.8000000000001,2008,12
GUERRERO,1272.3999999999999,2008,13
HIDALGO,803.5,2008,14
JALISCO,868.8,2008,15
MICHOACÁN,824.7000000000002,2008,16
MORELOS,1022.7,2008,17
NAYARIT,1550.6,2008,18
NUEVO LEÓN,824.1000000000001,2008,19
OAXACA,1710.3000000000002,2008,20
PUEBLA,1395.9000000000003,2008,21
QUERÉTARO,641.6999999999999,2008,22
QUINTANA ROO,1209.9,2008,23
SAN LUIS POTOSÍ,1375.3,2008,24
SINALOA,737.9000000000001,2008,25
SONORA,457.8,2008,26
TABASCO,2617.3000000000006,2008,27
TAMAULIPAS,1047.0000000000002,2008,28
TLAXCALA,679.8000000000001,2008,29
VERACRUZ,1573.9,2008,30
YUCATÁN,899.3,2008,31
ZACATECAS,580.4,2008,32
AGUASCALIENTES,414.90000000000003,2009,1
BAJA CALIFORNIA,115.4,2009,2
BAJA CALIFORNIA SUR,225.6,2009,3
CAMPECHE,1133.5,2009,4
CHIAPAS,1953.1000000000001,2009,5
CHIHUAHUA,468.9,2009,6
CIUDAD DE MÉXICO,713.1000000000001,2009,7
COAHUILA,330.79999999999995,2009,8
COLIMA,860.4,2009,9
DURANGO,519.4000000000001,2009,10
ESTADO DE MÉXICO,725.7000000000002,2009,11
GUANAJUATO,623.1999999999999,2009,12
GUERRERO,991.0999999999999,2009,13
HIDALGO,790.3999999999999,2009,14
JALISCO,703.6999999999999,2009,15
MICHOACÁN,765.6,2009,16
MORELOS,1031.6,2009,17
NAYARIT,1281.1999999999998,2009,18
NUEVO LEÓN,483.09999999999997,2009,19
OAXACA,1267.7000000000003,2009,20
PUEBLA,1236.2999999999997,2009,21
QUERÉTARO,490.00000000000006,2009,22
QUINTANA ROO,1100.8,2009,23
SAN LUIS POTOSÍ,951.0000000000001,2009,24
SINALOA,662.6,2009,25
SONORA,444.9,2009,26
TABASCO,1730.5,2009,27
TAMAULIPAS,627.6,2009,28
TLAXCALA,667.3999999999999,2009,29
VERACRUZ,1470.3,2009,30
YUCATÁN,736.2999999999998,2009,31
ZACATECAS,487.6000000000001,2009,32
AGUASCALIENTES,493.09999999999997,2010,1
BAJA CALIFORNIA,297.40000000000003,2010,2
BAJA CALIFORNIA SUR,109.3,2010,3
CAMPECHE,1425.1999999999998,2010,4
CHIAPAS,2730.3,2010,5
CHIHUAHUA,469.99999999999994,2010,6
CIUDAD DE MÉXICO,697.9000000000001,2010,7
COAHUILA,592.0,2010,8
COLIMA,1200.7999999999997,2010,9
DURANGO,559.3000000000001,2010,10
ESTADO DE MÉXICO,809.6999999999998,2010,11
GUANAJUATO,797.6999999999999,2010,12
GUERRERO,1521.0,2010,13
HIDALGO,938.6999999999999,2010,14
JALISCO,940.3,2010,15
MICHOACÁN,1086.3,2010,16
MORELOS,1206.8999999999999,2010,17
NAYARIT,1649.8,2010,18
NUEVO LEÓN,1231.2,2010,19
OAXACA,1940.1,2010,20
PUEBLA,1365.1000000000001,2010,21
QUERÉTARO,717.0999999999999,2010,22
QUINTANA ROO,1503.8000000000002,2010,23
SAN LUIS POTOSÍ,1360.0,2010,24
SINALOA,596.4,2010,25
SONORA,452.99999999999994,2010,26
TABASCO,2561.8999999999996,2010,27
TAMAULIPAS,1011.1999999999999,2010,28
TLAXCALA,829.0999999999999,2010,29
VERACRUZ,1791.1000000000001,2010,30
YUCATÁN,1071.6,2010,31
ZACATECAS,509.0,2010,32
AGUASCALIENTES,257.8,2011,1
BAJA CALIFORNIA,206.79999999999995,2011,2
BAJA CALIFORNIA SUR,69.4,2011,3
CAMPECHE,1180.9,2011,4
CHIAPAS,2381.6000000000004,2011,5
CHIHUAHUA,260.5,2011,6
CIUDAD DE MÉXICO,782.5999999999999,2011,7
COAHUILA,176.0,2011,8
COLIMA,1366.1000000000001,2011,9
DURANGO,245.6,2011,10
ESTADO DE MÉXICO,657.6,2011,11
GUANAJUATO,378.7,2011,12
GUERRERO,1194.3999999999999,2011,13
HIDALGO,705.1,2011,14
JALISCO,602.3000000000001,2011,15
MICHOACÁN,689.8000000000001,2011,16
MORELOS,967.6,2011,17
NAYARIT,1129.2,2011,18
NUEVO LEÓN,370.8,2011,19
OAXACA,1388.5999999999997,2011,20
PUEBLA,1280.0,2011,21
QUERÉTARO,372.3,2011,22
QUINTANA ROO,1476.3,2011,23
SAN LUIS POTOSÍ,922.3,2011,24
SINALOA,595.3,2011,25
SONORA,360.09999999999997,2011,26
TABASCO,2496.5,2011,27
TAMAULIPAS,603.3,2011,28
TLAXCALA,723.3,2011,29
VERACRUZ,1553.5,2011,30
YUCATÁN,972.8000000000001,2011,31
ZACATECAS,314.5,2011,32
AGUASCALIENTES,447.68999999999994,2012,1
BAJA CALIFORNIA,150.33999999999997,2012,2
BAJA CALIFORNIA SUR,305.88,2012,3
CAMPECHE,1141.1499999999999,2012,4
CHIAPAS,1885.3200000000002,2012,5
CHIHUAHUA,471.45000000000005,2012,6
CIUDAD DE MÉXICO,568.93,2012,7
COAHUILA,323.59,2012,8
COLIMA,990.5699999999999,2012,9
DURANGO,406.26,2012,10
ESTADO DE MÉXICO,628.4599999999999,2012,11
GUANAJUATO,573.25,2012,12
GUERRERO,961.53,2012,13
HIDALGO,652.35,2012,14
JALISCO,669.1400000000001,2012,15
MICHOACÁN,754.77,2012,16
MORELOS,840.42,2012,17
NAYARIT,1060.11,2012,18
NUEVO LEÓN,562.4000000000001,2012,19
OAXACA,1360.04,2012,20
PUEBLA,1390.5000000000002,2012,21
QUERÉTARO,589.88,2012,22
QUINTANA ROO,1338.0800000000002,2012,23
SAN LUIS POTOSÍ,974.4500000000002,2012,24
SINALOA,697.197,2012,25
SONORA,382.1,2012,26
TABASCO,2069.74,2012,27
TAMAULIPAS,727.2900000000001,2012,28
TLAXCALA,849.1400000000002,2012,29
VERACRUZ,1695.9200000000003,2012,30
YUCATÁN,948.15,2012,31
ZACATECAS,430.7799999999999,2012,32
AGUASCALIENTES,756.44,2013,1
BAJA CALIFORNIA,193.76000000000002,2013,2
BAJA CALIFORNIA SUR,228.96000000000004,2013,3
CAMPECHE,1698.52,2013,4
CHIAPAS,2278.86,2013,5
CHIHUAHUA,618.15,2013,6
CIUDAD DE MÉXICO,697.9899999999999,2013,7
COAHUILA,443.66,2013,8
COLIMA,1877.1099999999997,2013,9
DURANGO,513.8100000000001,2013,10
ESTADO DE MÉXICO,843.0300000000001,2013,11
GUANAJUATO,762.16,2013,12
GUERRERO,1270.4500000000003,2013,13
HIDALGO,796.8,2013,14
JALISCO,1062.75,2013,15
MICHOACÁN,1076.1999999999998,2013,16
MORELOS,1514.83,2013,17
NAYARIT,1209.46,2013,18
NUEVO LEÓN,756.6,2013,19
OAXACA,1237.64,2013,20
PUEBLA,1390.15,2013,21
QUERÉTARO,780.3399999999999,2013,22
QUINTANA ROO,1898.4599999999998,2013,23
SAN LUIS POTOSÍ,875.5099999999999,2013,24
SINALOA,846.6800000000001,2013,25
SONORA,446.73,2013,26
TABASCO,2811.9900000000002,2013,27
TAMAULIPAS,1090.63,2013,28
TLAXCALA,823.8299999999999,2013,29
VERACRUZ,1861.45,2013,30
YUCATÁN,1418.8199999999997,2013,31
ZACATECAS,630.71,2013,32
AGUASCALIENTES,534.66,2014,1
BAJA CALIFORNIA,85.06,2014,2
BAJA CALIFORNIA SUR,334.71999999999997,2014,3
CAMPECHE,1390.12,2014,4
CHIAPAS,2056.09,2014,5
CHIHUAHUA,490.03,2014,6
CIUDAD DE MÉXICO,615.57,2014,7
COAHUILA,423.84000000000003,2014,8
COLIMA,1920.35,2014,9
DURANGO,496.61000000000007,2014,10
ESTADO DE MÉXICO,884.7,2014,11
GUANAJUATO,678.9800000000001,2014,12
GUERRERO,1223.91,2014,13
HIDALGO,754.7700000000001,2014,14
JALISCO,981.4999999999999,2014,15
MICHOACÁN,885.09,2014,16
MORELOS,1777.7899999999997,2014,17
NAYARIT,1293.08,2014,18
NUEVO LEÓN,683.35,2014,19
OAXACA,1185.52,2014,20
PUEBLA,1303.4299999999996,2014,21
QUERÉTARO,773.1100000000001,2014,22
QUINTANA ROO,1358.2900000000002,2014,23
SAN LUIS POTOSÍ,808.2700000000001,2014,24
SINALOA,876.0500000000002,2014,25
SONORA,480.51000000000005,2014,26
TABASCO,2394.4300000000003,2014,27
TAMAULIPAS,955.03,2014,28
TLAXCALA,884.9499999999999,2014,29
VERACRUZ,1537.3400000000004,2014,30
YUCATÁN,1148.1299999999999,2014,31
ZACATECAS,534.36,2014,32
AGUASCALIENTES,836.7299999999999,2015,1
BAJA CALIFORNIA,262.86,2015,2
BAJA CALIFORNIA SUR,361.65,2015,3
CAMPECHE,1326.0799999999997,2015,4
CHIAPAS,1741.0500000000002,2015,5
CHIHUAHUA,630.5,2015,6
CIUDAD DE MÉXICO,491.7600000000001,2015,7
COAHUILA,525.0300000000002,2015,8
COLIMA,1956.7100000000003,2015,9
DURANGO,627.1300000000001,2015,10
ESTADO DE MÉXICO,858.48,2015,11
GUANAJUATO,840.8399999999999,2015,12
GUERRERO,1003.27,2015,13
HIDALGO,681.3699999999999,2015,14
JALISCO,1145.8400000000001,2015,15
MICHOACÁN,996.6400000000001,2015,16
MORELOS,1327.04,2015,17
NAYARIT,1442.95,2015,18
NUEVO LEÓN,682.11,2015,19
OAXACA,1002.4000000000001,2015,20
PUEBLA,1185.06,2015,21
QUERÉTARO,756.6099999999999,2015,22
QUINTANA ROO,1495.54,2015,23
SAN LUIS POTOSÍ,794.07,2015,24
SINALOA,1048.5600000000002,2015,25
SONORA,643.48,2015,26
TABASCO,2426.29,2015,27
TAMAULIPAS,891.6899999999999,2015,28
TLAXCALA,800.05,2015,29
VERACRUZ,1488.91,2015,30
YUCATÁN,978.4000000000001,2015,31
ZACATECAS,741.5699999999999,2015,32
AGUASCALIENTES,574.89,2016,1
BAJA CALIFORNIA,218.97,2016,2
BAJA CALIFORNIA SUR,200.02,2016,3
CAMPECHE,1176.97,2016,4
CHIAPAS,1614.24,2016,5
CHIHUAHUA,512.4799999999999,2016,6
CIUDAD DE MÉXICO,655.8499999999999,2016,7
COAHUILA,554.8399999999999,2016,8
COLIMA,1333.19,2016,9
DURANGO,509.7699999999999,2016,10
ESTADO DE MÉXICO,914.9699999999999,2016,11
GUANAJUATO,691.29,2016,12
GUERRERO,985.5299999999999,2016,13
HIDALGO,694.2600000000001,2016,14
JALISCO,926.2400000000002,2016,15
MICHOACÁN,721.98,2016,16
MORELOS,1781.63,2016,17
NAYARIT,1224.35,2016,18
NUEVO LEÓN,612.2099999999999,2016,19
OAXACA,993.22,2016,20
PUEBLA,1195.8300000000002,2016,21
QUERÉTARO,749.83,2016,22
QUINTANA ROO,1109.3100000000004,2016,23
SAN LUIS POTOSÍ,685.0800000000002,2016,24
SINALOA,730.4099999999999,2016,25
SONORA,424.37,2016,26
TABASCO,1749.6799999999998,2016,27
TAMAULIPAS,746.7299999999999,2016,28
TLAXCALA,750.85,2016,29
VERACRUZ,1533.8199999999997,2016,30
YUCATÁN,885.1800000000001,2016,31
ZACATECAS,510.15999999999997,2016,32
AGUASCALIENTES,579.41,2017,1
BAJA CALIFORNIA,131.73000000000002,2017,2
BAJA CALIFORNIA SUR,174.73999999999998,2017,3
CAMPECHE,1407.3,2017,4
CHIAPAS,1993.9799999999998,2017,5
CHIHUAHUA,453.82000000000005,2017,6
CIUDAD DE MÉXICO,487.99,2017,7
COAHUILA,358.54,2017,8
COLIMA,1728.8200000000002,2017,9
DURANGO,454.63,2017,10
ESTADO DE MÉXICO,865.3599999999999,2017,11
GUANAJUATO,611.5099999999999,2017,12
GUERRERO,1161.1100000000001,2017,13
HIDALGO,653.2399999999999,2017,14
JALISCO,946.12,2017,15
MICHOACÁN,792.7499999999999,2017,16
MORELOS,1949.5100000000002,2017,17
NAYARIT,1228.27,2017,18
NUEVO LEÓN,569.98,2017,19
OAXACA,1440.8299999999997,2017,20
PUEBLA,1402.29,2017,21
QUERÉTARO,592.6899999999998,2017,22
QUINTANA ROO,1406.8,2017,23
SAN LUIS POTOSÍ,617.65,2017,24
SINALOA,698.78,2017,25
SONORA,450.60000000000014,2017,26
TABASCO,2013.8100000000002,2017,27
TAMAULIPAS,666.6900000000002,2017,28
TLAXCALA,690.2500000000001,2017,29
VERACRUZ,1730.96,2017,30
YUCATÁN,1120.52,2017,31
ZACATECAS,467.2099999999999,2017,32
AGUASCALIENTES,768.6600000000001,2018,1
BAJA CALIFORNIA,125.31,2018,2
BAJA CALIFORNIA SUR,163.17999999999998,2018,3
CAMPECHE,1389.7900000000002,2018,4
CHIAPAS,1705.27,2018,5
CHIHUAHUA,490.75,2018,6
CIUDAD DE MÉXICO,786.1799999999998,2018,7
COAHUILA,396.77,2018,8
COLIMA,1611.6799999999998,2018,9
DURANGO,520.53,2018,10
ESTADO DE MÉXICO,1098.6999999999998,2018,11
GUANAJUATO,850.2900000000001,2018,12
GUERRERO,1159.04,2018,13
HIDALGO,574.57,2018,14
JALISCO,1075.93,2018,15
MICHOACÁN,1114.0999999999997,2018,16
MORELOS,1963.72,2018,17
NAYARIT,1356.3799999999999,2018,18
NUEVO LEÓN,585.19,2018,19
OAXACA,1217.1399999999996,2018,20
PUEBLA,1247.6499999999999,2018,21
QUERÉTARO,554.1399999999999,2018,22
QUINTANA ROO,1306.09,2018,23
SAN LUIS POTOSÍ,635.3599999999999,2018,24
SINALOA,1001.31,2018,25
SONORA,565.8900000000001,2018,26
TABASCO,1965.5,2018,27
TAMAULIPAS,677.9999999999999,2018,28
TLAXCALA,661.9499999999999,2018,29
VERACRUZ,1516.1099999999997,2018,30
YUCATÁN,998.6899999999999,2018,31
ZACATECAS,614.45,2018,32
AGUASCALIENTES,453.1,2019,1
BAJA CALIFORNIA,206.1,2019,2
BAJA CALIFORNIA SUR,270.6,2019,3
CAMPECHE,1303.2,2019,4
CHIAPAS,1767.4,2019,5
CHIHUAHUA,470.3,2019,6
CIUDAD DE MÉXICO,565.3,2019,7
COAHUILA,261.5,2019,8
COLIMA,1816.7,2019,9
DURANGO,428.8,2019,10
ESTADO DE MÉXICO,837.6,2019,11
GUANAJUATO,553.7,2019,12
GUERRERO,1102.1,2019,13
HIDALGO,438.8,2019,14
JALISCO,926.4,2019,15
MICHOACÁN,829.7,2019,16
MORELOS,1691.3,2019,17
NAYARIT,1225.3,2019,18
NUEVO LEÓN,499.2,2019,19
OAXACA,1089.4,2019,20
PUEBLA,1040.8,2019,21
QUERÉTARO,411.3,2019,22
QUINTANA ROO,1036.1,2019,23
SAN LUIS POTOSÍ,480.8,2019,24
SINALOA,928.2,2019,25
SONORA,648.7,2019,26
TABASCO,1916.0,2019,27
TAMAULIPAS,579.1,2019,28
TLAXCALA,564.2,2019,29
VERACRUZ,1107.6,2019,30
YUCATÁN,1034.2,2019,31
ZACATECAS,415.3,2019,32
